Chemical,Sentence
beryllium;[hydroxy-[2-(3-nitroanilino)ethoxy]phosphoryl] hydrogen phosphate;trifluoride,"The beryllium compound, which is a member of the halogenoalkali family, has been shown to be a highly effective antineoplastic agent in animal models."
2-(3-nitroanilino)ethyl phosphono hydrogen phosphate,2-(3-nitroanilino)ethyl phosphono hydrogen phosphate is a salicylic acid ester (CH3CH2COOCH2OH) with the chemical formula CH3CH2COO
4-(dimethylamino)-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide,4-(dimethylamino)-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide (2) is a quaternary ammonium compound.
1-[4-amino-3-chloro-5-(trifluoromethyl)phenyl]-2-(tert-butylamino)ethanol,Amino acid [4-amino-3-chloro-5-(trifluoromethyl)phenyl]-2-(tert-butylamino)ethanol is a chemical compound.
"2,6,8,9-tetrahydroxy-7-(2-methylbut-3-en-2-yl)-5-(3-methylbut-2-enyl)xanthen-3-one","The chemical compound, 2,6,8,9-tetrahydroxy-7-(2-methylbut-3-en-2-yl)-5-(3-methylbut-2-enyl"
"4,6,8,9-tetrahydroxy-7-(2-methylbut-3-en-2-yl)-5-(3-methylbut-2-enyl)xanthen-3-one","The chemical compound 4,6,8,9-tetrahydroxy-7-(2-methylbut-3-en-2-yl)-5-(3-methylbut-2-enyl)"
4-(aminomethyl)benzenesulfonamide,4-(aminomethyl)benzenesulfonamide is a chemical compound with the molecular formula C10H9N3O3S. It is a white crystalline solid that is soluble
"2,10-dimethoxy-6,6-dimethyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinolin-6-ium-1,11-diol","The chemical compound is a colorless liquid with a flat, waxy texture. It is highly soluble in water and ethanol, and has a slight odor."
"1-(3,7-dimethylocta-2,6-dienyl)-3-methyl-9H-carbazol-2-ol",A chemical compound that is a member of the carbazol-2-one group has been isolated from a plant extract.
"[4-(4-bromo-3,3-dimethylcyclohexyl)-2,3-dioxabicyclo[2.2.2]oct-5-en-1-yl]methanol","[4-(4-bromo-3,3-dimethylcyclohexyl)-2,3-dioxabicyclo[2.2.2]oct-5-en-1-yl]meth"
"10-amino-2-methyl-2,7-diazatricyclo[6.3.1.04,12]dodeca-1(12),3,7,9-tetraen-11-one","A 10-amino-2-methyl-2,7-diazatricyclo[6.3.1.04,12]dodeca-1(12),3,7,9"
tert-butyl N-[6-acetamido-1-[(4-methyl-2-oxochromen-7-yl)amino]-1-oxohexan-2-yl]carbamate,A chemical compound called tert-butyl N-[6-acetamido-1-[(4-methyl-2-oxochromen-7-yl)amino]-1-oxohexan
diethyl 2-dimethoxyphosphinothioylsulfanylbutanedioate,"The diethyl 2-dimethoxyphosphinothioylsulfanylbutanedioate was synthesized by A. C. Chao, S. S. Tang, and Y. Q. Ch"
"4-butan-2-yl-7-(2-methylpropyl)-10-propan-2-yl-15,16-dithia-2,5,8,11,19-pentazabicyclo[11.4.2]nonadecane-3,6,9,12,18-pentone","4-butan-2-yl-7-(2-methylpropyl)-10-propan-2-yl-15,16-dithia-2,5,8,11,"
"dipropan-2-yl 2-(1,3-dithiol-2-ylidene)propanedioate","The compound is used as a bone marrow stimulant, which helps to increase the number of new cells produced in the bone marrow, resulting in enhanced bone-forming activity."
"6-(hydroxymethyl)-2-methyl-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2,3,4-triol",A new model for the evolutionary origins of genes is proposed.
"5-O-[2-(4-benzhydrylpiperazin-1-yl)ethyl] 3-O-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate","The chemical compound 5-O-[2-(4-benzhydrylpiperazin-1-yl)ethyl] 3-O-methyl 2,6-dimethyl-4-("
"2-hydroxy-3-[6-hydroxy-5-[4-methyl-6-(2,6,6-trimethylcyclohexen-1-yl)hex-3-enyl]-3,6-dihydro-2H-pyran-2-yl]-2H-furan-5-one","The chemical compound is a highly potential anti-cancer agent with anti-angiogenic, anti-invasive, and anti-metastatic activities."
"N-[5-hydroxy-5-[7-[(2-hydroxy-5-oxocyclopenten-1-yl)amino]-7-oxohepta-1,3,5-trienyl]-2-oxo-7-oxabicyclo[4.1.0]hept-3-en-3-yl]-2,4,6-trimethyldeca-2,4-dienamide","The chemical compound N-[5-hydroxy-5-[7-[(2-hydroxy-5-oxocyclopenten-1-yl)amino]-7-oxohepta-1,"
"N-methyl-3-(1-tetracyclo[6.6.2.02,7.09,14]hexadeca-2,4,6,9,11,13-hexaenyl)propan-1-amine","The chemical compound N-methyl-3-(1-tetracyclo[6.6.2.02,7.09,14]hexadeca-2,4,6,9,11"
prop-1-en-2-yloxymethyl 2-[N-[2-(acetyloxymethoxy)-2-oxoethyl]-2-[2-[2-[bis[2-(acetyloxymethoxy)-2-oxoethyl]amino]-5-methylphenoxy]ethoxy]-4-methylanilino]acetate,Prop-1-en-2-yloxymethyl 2-[N-[2-(acetyloxymethoxy)-2-oxoethyl]-2-[2-[2-[bis
"9-acetyl-7-[4-amino-5-(4,5-dihydroxy-6-methyloxan-2-yl)oxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione","9-acetyl-7-[4-amino-5-(4,5-dihydroxy-6-methyloxan-2-yl)oxy-6-methyloxan"
N-hydroxy-3-[4-(4-methylbenzoyl)-1H-pyrrol-2-yl]prop-2-enamide,N-hydroxy-3-[4-(4-methylbenzoyl)-1H-pyrrol-2-yl]prop-2-enamide is a weak acid.
3-[4-[4-(dimethylamino)benzoyl]-1H-pyrrol-2-yl]-N-hydroxyprop-2-enamide,The compound 3-[4-[4-(dimethylamino)benzoyl]-1H-pyrrol-2-yl]-N-hydroxyprop-2-enamide is a struct
N-[1-[[6-amino-1-[[1-[[1-[[1-[[1-[[1-[[1-[[6-amino-1-[[6-amino-1-[[1-[(1-amino-4-methyl-1-oxopentan-2-yl)amino]-3-methyl-1-oxopentan-2-yl]amino]-1-oxohexan-2-yl]amino]-1-oxohexan-2-yl]amino]-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]-2-[(2-amino-3-methylpentanoyl)amino]butanediamide,The chemical compound N-[1-[[6-amino-1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-
N-[1-[[6-amino-1-[[1-[[1-[[1-[[1-[[1-[[1-[[5-amino-1-[[1-[[1-[(1-amino-4-methyl-1-oxopentan-2-yl)amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]-2-[(2-amino-3-methylpentanoyl)amino]butanediamide,"The chemical compound, N-[1-[[6-amino-1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[1-[[5-amino"
"5-[2-[1-[1-(3-hydroxy-3-methylbutoxy)ethyl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol","The chemical compound 5-[2-[1-[1-(3-hydroxy-3-methylbutoxy)ethyl]-7a-methyl-2,3,3a,5"
"(6,6,9-trimethyl-9-azabicyclo[3.3.1]nonan-3-yl) 2-hydroxy-2,2-dithiophen-2-ylacetate","A new chemical compound, (6,6,9-trimethyl-9-azabicyclo[3.3.1]nonan-3-yl) 2-hydroxy-2,2-dith"
"5-(4-chlorophenyl)-2,3-dihydroimidazo[1,2-b]isoindol-5-ol","The compound 5-(4-chlorophenyl)-2,3-dihydroimidazo[1,2-b]isoindol-5-ol is a key player in the enzyme-in"
5-methyl-2-phenyl-4H-pyrazol-3-one,"5-methyl-2-phenyl-4H-pyrazol-3-one is a chemical compound with the molecular formula C6H5N2O. It is a colorless, odorless,"
4-[(3-chlorophenyl)carbamoyloxy]but-2-ynyl-trimethylazanium,A new method has been developed to study the structure-property relationship of metal-organic frameworks (MOFs).
"3-(2-carboxy-2-phenylethenyl)-4,6-dichloro-1H-indole-2-carboxylic acid","The chemical compound, 3-(2-carboxy-2-phenylethenyl)-4,6-dichloro-1H-indole-2-carboxylic acid, is a yellowish solid with"
N-(2-phenylcyclopentyl)-1-azacyclotridecen-2-amine,"N-(2-phenylcyclopentyl)-1-azacyclotridecen-2-amine is a red, crystalline powder with a melting point of 132-133°C"
2-[6-(2-aminoethyl)piperidin-2-yl]ethanamine,"2-[6-(2-aminoethyl)piperidin-2-yl]ethanamine is a potent and highly selective inhibitor of CYP2D6, which mediates the met"
"N,N'-bis(buta-2,3-dienyl)butane-1,4-diamine","A new organic compound, N,N'-bis(buta-2,3-dienyl)butane-1,4-diamine, has been isolated from the crude oil of the marine alga, Ch"
methyl 1-[3-methyl-2-[[3-(propylcarbamoyl)oxirane-2-carbonyl]amino]pentanoyl]pyrrolidine-2-carboxylate,"A new research paper by a team led by chemists at the Max Planck Institute for Chemical Energy Conversion and the University of Cologne has identified the first molecules of the new family of highly effective, stable and efficient organic photov"
"icosa-5,8,11-trienoic acid","The icosa-5,8,11-trienoic acid molecule is an enzyme cofactor found in the mitochondrial electron transport chain. The triene group of the molecule acts as a transition"
"N-(2-hydroxyethyl)icosa-5,8,11-trienamide","A new derivative of a well-known compound, N-(2-hydroxyethyl)icosa-5,8,11-trienamide, has been synthesized and characterized."
methyl N-(6-benzoyl-1H-benzimidazol-2-yl)carbamate,The methyl N-(6-benzoyl-1H-benzimidazol-2-yl)carbamate has a tendency to form a complex with the protein.
"4-[ethyl-[1-(4-methoxyphenyl)propan-2-yl]amino]butyl 3,4-dimethoxybenzoate","4-[ethyl-(1-(4-methoxyphenyl)propan-2-yl)amino]butyl 3,4-dimethoxybenzoate is a chemical compound with the chemical"
"N,2,3,3-tetramethylbicyclo[2.2.1]heptan-2-amine","N,2,3,3-tetramethylbicyclo[2.2.1]heptan-2-amine is a compound of the molecular formula C19H34F3N3"
2-chloro-N-(2-chloroethyl)-N-methylethanamine,2-chloro-N-(2-chloroethyl)-N-methylethanamine is a chemical compound with a molecular formula of C23H36ClN3O2. It is
1-[(4-chlorophenyl)-phenylmethyl]-4-[(3-methylphenyl)methyl]piperazine,"The chemical compound, 1-[(4-chlorophenyl)-phenylmethyl]-4-[(3-methylphenyl)methyl]piperazine, is a colorless liquid with a"
"2-[amino(hydroxy)methylidene]-7-chloro-4-(dimethylamino)-5,10,11,12a-tetrahydroxy-6-methylidene-4,4a,5,5a-tetrahydrotetracene-1,3,12-trione","The chemical compound, 2-[amino(hydroxy)methylidene]-7-chloro-4-(dimethylamino)-5,10,11,12a-t"
"2-(2,6-dichloro-3-methylanilino)benzoate",The chemical compound is a yellow-brown solid with a slightly sweet odor.
"2-(2,6-dichloro-3-methylanilino)benzoic acid","The chemical compound 2-(2,6-dichloro-3-methylanilino)benzoic acid has a molecular formula of C14H16ClNO3, a molar mass of"
"sodium 2-(2,6-dichloro-3-methylanilino)benzoate","The compound sodium 2-(2,6-dichloro-3-methylanilino)benzoate (Na2CCO2H) is a chemically stable, non-toxic, and color"
2-(dimethylamino)ethyl 2-(4-chlorophenoxy)acetate,The chemical compound 2-(dimethylamino)ethyl 2-(4-chlorophenoxy)acetate is a white powder that is soluble in water and alcohol.
methyl 2-amino-3-sulfanylpropanoate,A chemical compound methyl 2-amino-3-sulfanylpropanoate is a reactive compound that exhibits both acid and base properties.
"7-chloro-1-methyl-5-phenyl-2,3-dihydro-1,4-benzodiazepine","7-chloro-1-methyl-5-phenyl-2,3-dihydro-1,4-benzodiazepine is a chemical compound of the benzodiazepine class."
"(17-acetyl-6,10,13-trimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl) acetate","The chemical compound (17-acetyl-6,10,13-trimethyl-3-oxo-2,6,7,8,9,11,12,14,15"
"17-acetyl-11-hydroxy-6,10,13-trimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one","17-acetyl-11-hydroxy-6,10,13-trimethyl-1,2,6,7,8,9,11,12,14,15"
"2-(2,3-dimethylanilino)benzoic acid","The chemical compound 2-(2,3-dimethylanilino)benzoic acid is a strong oxidizing agent."
N-[2-(diethylamino)ethyl]-2-(4-methoxyphenoxy)acetamide,N-[2-(diethylamino)ethyl]-2-(4-methoxyphenoxy)acetamide is an organic compound with the molecular formula C14H24O3
"[2,8-bis(trifluoromethyl)quinolin-4-yl]-piperidin-2-ylmethanol","2,8-bis(trifluoromethyl)quinolin-4-yl]-piperidin-2-ylmethanol"
"4-chloro-1-N-methyl-1-N-[(2-methyloxolan-2-yl)methyl]benzene-1,3-disulfonamide","4-chloro-1-N-methyl-1-N-[(2-methyloxolan-2-yl)methyl]benzene-1,3-disulfonamide"
"(17-acetyl-6,10,13-trimethyl-3-oxo-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-17-yl) acetate","The chemical compound (17-acetyl-6,10,13-trimethyl-3-oxo-2,8,9,11,12,14,15,16-"
"6-(methylamino)hexane-1,2,3,4,5-pentol","The chemical compound 6-(methylamino)hexane-1,2,3,4,5-pentol is a hydrocarbon with at least one methyl group that is unsaturated on the 6"
"N-(1-phenylethyl)octadeca-9,12-dienamide","A highly reactive and organic compound, N-(1-phenylethyl)octadeca-9,12-dienamide (also known as OPAM or 1,3-dipyridylam"
"sodium 2-methyl-3-[(5-methyl-1,3-thiazol-2-yl)carbamoyl]-1,1-dioxo-1lambda6,2-benzothiazin-4-olate","Sodium 2-methyl-3-[(5-methyl-1,3-thiazol-2-yl)carbamoyl]-1,1-dioxo-1lambda6"
"3-[hydroxy-[(5-methyl-1,3-thiazol-2-yl)amino]methylidene]-2-methyl-1,1-dioxo-1lambda6,2-benzothiazin-4-one","The chemical compound is a 3-[hydroxy-[(5-methyl-1,3-thiazol-2-yl)amino]methylidene]-2-methyl-"
2-amino-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid,2-amino-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid (CAS No. 14422-81-1) is
"3,5-dimethyladamantan-1-amine","The compound is a heterocyclic amine, which is a type of organic compound consisting of a nitrogen-containing heteroatom (usually nitrogen) and a carboxylic acid group (us"
"2-methylnaphthalene-1,4-dione","The compound, 2-methylnaphthalene-1,4-dione, is a colorless liquid that is insoluble in water."
"2-methyl-3-(3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenyl)naphthalene-1,4-dione",Methyl-3-methyl-2-methylnaphthalene-1-dione is a yellow-brown crystalline solid with a molecular mass of 181.3 g/
"(1,1-dimethylpiperidin-1-ium-3-yl) 2-hydroxy-2,2-diphenylacetate","A new compound is reported to have the ability to reverse the effects of aging on cell signaling, the study said."
ethyl 1-methyl-4-phenylpiperidine-4-carboxylate,The therapeutic effect of ethyl 1-methyl-4-phenylpiperidine-4-carboxylate (Et-PPC) on the treatment of neurodegenerative diseases
"3-(2-methylphenoxy)propane-1,2-diol","This compound is commonly used in the production of acetone, which is a solvent used in several industries. It is also a precursor to tertiary butyl alcohol."
"5-ethyl-3-methyl-5-phenylimidazolidine-2,4-dione","The chemical compound 5-ethyl-3-methyl-5-phenylimidazolidine-2,4-dione is a brown, crystalline powder with a molecular formula of C5"
"15-(1-methoxycyclopentyl)oxy-2,16-dimethyl-5-thiapentacyclo[9.7.0.02,8.04,6.012,16]octadecane","15-(1-methoxycyclopentyl)oxy-2,16-dimethyl-5-thiapentacyclo[9.7.0.02,8.04,6"
"N-(2,6-dimethylphenyl)-1-methylpiperidine-2-carboxamide","A synthetic derivative of piperidine, N-(2,6-dimethylphenyl)-1-methylpiperidine-2-carboxamide (1) is a potent inducer of the G"
"17-hydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,9,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,11-dione","A research team at the University of California, San Diego has developed a new technique for synthesizing the chemical compound, 17-hydroxy-17-(2-hydroxyacetyl)-10,13"
[2-(carbamoyloxymethyl)-2-methylpentyl] carbamate,"Based on the text material, write a descriptive sentence using the chemical compound: [2-(carbamoyloxymethyl)-2-methylpentyl] carbamate."
[2-methyl-2-(propylamino)propyl] benzoate,[2-methyl-2-(pro
10-(1-azabicyclo[2.2.2]octan-3-ylmethyl)phenothiazine,10-(1-azabicyclo[2.2.2]octan-3-ylmethyl)phenothiazine is an organic compound with the molecular formula C8H11N3
"4,6-dioxo-N-phenyl-2-sulfanyl-1H-pyrimidine-5-carboxamide","The chemical compound, 4,6-dioxo-N-phenyl-2-sulfanyl-1H-pyrimidine-5-carboxamide, has been observed to possess potent ant"
"[2,7-dibromo-9-(2-carboxylatophenyl)-3-oxido-6-oxoxanthen-4-yl]mercury;hydrate","[2,7-dibromo-9-(2-carboxylatophenyl)-3-oxido-6-oxoxanthen-4-yl]mercury hydrate is a chemical compound with the"
"[2,7-dibromo-9-(2-carboxyphenyl)-3-hydroxy-6-oxoxanthen-4-yl]mercury","[2,7-dibromo-9-(2-carboxyphenyl)-3-hydroxy-6-oxoxanthen-4-yl]mercury is a pungent, odorless,"
2-(2-sulfanylethyl)guanidine,"The chemical compound 2-(2-sulfanylethyl)guanidine is a potent inhibitor of the NMDA receptor, with a Ki of approximately 80 nM."
7H-purine-6-thiol,7H-purine-6-thiol is a chemical compound commonly found in biological systems.
"sodium 3-[2-[4-(1,3-dibutyl-4,6-dioxo-2-sulfanylidene-1,3-diazinan-5-ylidene)but-2-enylidene]-1,3-benzoxazol-3-yl]propane-1-sulfonate","The sodium 3-[2-[4-(1,3-dibutyl-4,6-dioxo-2-sulfanylidene-1,3-diazinan-5-yl"
"3-[2-[4-(1,3-dibutyl-4,6-dioxo-2-sulfanylidene-1,3-diazinan-5-ylidene)but-2-enylidene]-1,3-benzoxazol-3-yl]propane-1-sulfonic acid","The compound is a 2-sulfanylidene-1,3-diazinan-5-ylidenebut-2-enylidene-1,3-benzoxazol-3-yl"
"2-(1-carboxy-2-hydroxypropyl)-4-[5-(dimethylcarbamoyl)pyrrolidin-3-yl]sulfanyl-3-methyl-3,4-dihydro-2H-pyrrole-5-carboxylic acid",2-(1-carboxy-2-hydroxypropyl)-4-[5-(dimethylcarbamoyl)pyrrolidin-3-yl]sulfanyl-3-meth
5-amino-2-hydroxybenzoic acid,"The chemical compound, 5-amino-2-hydroxybenzoic acid, is a key component of neuromuscular synapses, which are responsible for transmitting signals between neurons and muscle cells."
"2-(3,4,5-trimethoxyphenyl)ethanamine","The chemical compound 2-(3,4,5-trimethoxyphenyl)ethanamine is a white or cream-colored solid that is soluble in water. It has a pleasant odor and is"
2-sulfanylethanesulfonate,The chemical compound 2-sulfanylethanesulfonate has a formula of C6H5CO2S which is a benzene-based ring system.
10-[2-(1-methylpiperidin-2-yl)ethyl]-2-methylsulfinylphenothiazine,The chemical compound 10-[2-(1-methylpiperidin-2-yl)ethyl]-2-methylsulfinylphenothiazine has a chemical formula of C1
"17-hydroxy-10,13,17-trimethyl-2,4,5,6,7,8,9,11,12,14,15,16-dodecahydro-1H-cyclopenta[a]phenanthren-3-one","The chemical compound 17-hydroxy-10,13,17-trimethyl-2,4,5,6,7,8,9,11,12,14,15"
"17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol","The chemical compound, 17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octah"
"1-(4,7-dimethyl-6,6a,8,9,10,10a-hexahydroindolo[4,3-fg]quinolin-9-yl)-N,N-dimethylmethanesulfonamide","This compound, C10H16N2OSF2, is a heterocyclic amine."
5-[2-[[2-[[6-amino-2-[[6-amino-2-[[2-[[5-amino-2-[(2-amino-4-methylsulfanylbutanoyl)amino]-5-oxopentanoyl]amino]-4-methylsulfanylbutanoyl]amino]hexanoyl]amino]hexanoyl]amino]-3-methylbutanoyl]amino]hexanoylamino]-2-(hydroxymethyl)-4-oxoheptanedioic acid,A new method for preparing the five-membered carbocyclic nitrogen-containing heteroaromatic compound (5-[2-[[2-[[6-amino-2-[[6-am
"3,3-dimethyl-6-[[2-(methylideneamino)-2-phenylacetyl]amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate","The compound has the molecular formula C10H17NO5, and its molar mass is 262.85 g/mol. The molecular weight is 474.52."
"3,3-dimethyl-6-[[2-(methylideneamino)-2-phenylacetyl]amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","The chemical compound is a structural analog of the well-known thiazolidinedione class of natural products, with a general formula [CnH2n+2]n, where n is a positive integer and n is a"
"2-(hydroxymethyl)-6-(3-nitrophenoxy)oxane-3,4,5-triol","In this report, the synthesis and characterization of 2-(hydroxymethyl)-6-(3-nitrophenoxy)oxane-3,4,5-triol (C45H40N"
"5-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,3-diol","The chemical compound [5-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,3-diol] is a fluorescent molecule that exhibits"
3-(2-amino-1-hydroxypropyl)phenol,"3-(2-amino-1-hydroxypropyl)phenol is a colorless liquid with a sweet, slightly metallic odor. It is soluble in water and many organic solvents,"
"(1,10,13-trimethyl-3-oxo-4,5,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl) acetate","The chemical compound 1,10,13-trimethyl-3-oxo-4,5,6,7,8,9,11,12,14,15,16,1"
"(1,10,13-trimethyl-3-oxo-4,5,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl) heptanoate","The chemical compound (1,10,13-trimethyl-3-oxo-4,5,6,7,8,9,11,12,14,15,16,1"
"benzyl N-[(4,7-dimethyl-6,6a,8,9,10,10a-hexahydroindolo[4,3-fg]quinolin-9-yl)methyl]carbamate",A new method for the synthesis of an organic compound with broad molecular basis was developed.
"3-(diaminomethylidene)-1,1-dimethylguanidine","3-(diaminomethylidene)-1,1-dimethylguanidine is a chemical compound that is found in various natural sources. It is a white, crystalline powder with a strong"
(3-methoxy-2-methyl-3-oxopropyl)-trimethylazanium,"A new study published in Nature Communications shows that the antidepressant fluoxetine (Prozac) can also increase the production of kynurenine, a key chemical involved in anxiety."
2-methylprop-2-enoic acid,2-methylprop-2-enoic acid is a chemical compound with the chemical formula CH3C(CH2)2CHCOOH. It is a white solid and has a bitter taste. 2-meth
"2-[amino(hydroxy)methylidene]-4-(dimethylamino)-5,10,11,12a-tetrahydroxy-6-methylidene-4,4a,5,5a-tetrahydrotetracene-1,3,12-trione","The chemical compound, 2-[amino(hydroxy)methylidene]-4-(dimethylamino)-5,10,11,12a-tetrahydroxy-6"
"6-(dimethylamino)-4,4-diphenylheptan-3-one","The compound (6-(dimethylamino)-4,4-diphenylheptan-3-one) is a colorless solid that undergoes hydrolysis."
[amino(methylsulfanyl)phosphoryl]oxymethane,"The amino (methylsulfanyl)phosphoryl (oxymethane) compound is a potent and selective inhibitor of cyclooxygenase-2, with an IC50 of"
diethyl-methyl-[2-(9H-xanthene-9-carbonyloxy)ethyl]azanium,Diethyl-methyl-[2-(9H-xanthene-9-carbonyloxy)ethyl]azanium is a unique and highly reactive compound with a strong hydrogen bonding network.
"N,N-dimethyl-N'-pyridin-2-yl-N'-(thiophen-2-ylmethyl)ethane-1,2-diamine","The synthesis of N,N-dimethyl-N'-pyridin-2-yl-N'-(thiophen-2-ylmethyl)ethane-1,2-diamine involves the reaction"
"5,5-diethyl-1-methyl-1,3-diazinane-2,4,6-trione","A 5,5-diethyl-1-methyl-1,3-diazinane-2,4,6-trione molecule is an organic compound that is a colorless, odorless"
"N-(3-methyl-5-sulfamoyl-1,3,4-thiadiazol-2-ylidene)acetamide","The compound has a pungent odor, similar to musty hay or damp earth."
"1,3,5,7-tetrazatricyclo[3.3.1.13,7]decane","In 1958, the chemist Dr. A. M. Kohlmeyer reported the discovery of 1,3,5,7-tetrazatricyclo[3.3.1.13,"
"6-[(2,6-dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate","A new 2-amino-5,6-difluorophenyl"
"6-[(2,6-dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","A structural formula is a visual representation of the chemical compound. It is a visual representation of the chemical structure, which is important for understanding the chemical compound."
1-methylimidazole-2-thiol,"1-methylimidazole-2-thiol is a chemical compound that has a chemical formula of C6H5NO2S, and it is non-polar in structure."
2-[[2-[(2-amino-4-methylsulfanylbutanoyl)amino]-4-methylpentanoyl]amino]-3-phenylpropanoic acid,"A new chemical compound has been discovered that can provide a new source of energy for our planet, which could potentially lead to a cleaner, greener energy supply. This new compound is derived from the natural source of energy, which is the abund"
